date,lgd_district_name,lgd_state_name,npi_border,npi_curfew,npi_industry,npi_lockdown,npi_mask,npi_retail,npi_school,npi_surveillance,npi_temple,npi_transport,npi_cu,district,av_npi_cu,npi_cu_scale,av_npi_cu_scale,sdgroup,state
30may2020,anantapur,andhra pradesh,.33333331,1,0,1,1,.83333331,1,1,1,.33333331,5.5,1,5.2857141,.6875,.66071427,728,andhra pradesh
31may2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.66666663,1,1,1,.33333331,5,1,5.2142859,.625,.65178573,734,andhra pradesh
01jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.66666663,1,1,1,.33333331,5,1,5.1428571,.625,.64285713,740,andhra pradesh
02jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.66666663,1,1,1,.33333331,5,1,5.0714288,.625,.6339286,746,andhra pradesh
03jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.66666663,1,1,1,.33333331,5,1,5,.625,.625,752,andhra pradesh
04jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.66666663,1,1,1,.33333331,5,1,5,.625,.625,758,andhra pradesh
05jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.66666663,1,1,1,.33333331,5,1,4.7976189,.625,.59970236,764,andhra pradesh
06jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.66666663,1,1,1,.33333331,5,1,4.5952382,.625,.57440478,770,andhra pradesh
07jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.66666663,1,1,1,.33333331,5,1,4.3928571,.625,.54910713,776,andhra pradesh
08jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,4.1904759,.44791663,.52380949,782,andhra pradesh
09jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.988095,.44791663,.49851188,788,andhra pradesh
10jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.7857139,.44791663,.47321424,794,andhra pradesh
11jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,800,andhra pradesh
12jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,806,andhra pradesh
13jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,812,andhra pradesh
14jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,818,andhra pradesh
15jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,824,andhra pradesh
16jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,830,andhra pradesh
17jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,836,andhra pradesh
18jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,842,andhra pradesh
19jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,848,andhra pradesh
20jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,854,andhra pradesh
21jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,860,andhra pradesh
22jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,866,andhra pradesh
23jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,872,andhra pradesh
24jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,878,andhra pradesh
25jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,884,andhra pradesh
26jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.583333,.44791663,.44791663,890,andhra pradesh
27jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.488095,.44791663,.43601188,896,andhra pradesh
28jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.3928568,.44791663,.4241071,902,andhra pradesh
29jun2020,anantapur,andhra pradesh,.33333331,1,0,.66666663,1,.24999997,1,.875,0,.33333331,3.583333,1,3.1547616,.44791663,.39434519,908,andhra pradesh
30jun2020,anantapur,andhra pradesh,.33333331,.66666663,0,.33333331,1,.24999997,1,.75,0,.33333331,2.9166665,1,2.9166665,.36458331,.36458331,914,andhra pradesh
01jul2020,anantapur,andhra pradesh,.33333331,.66666663,0,.33333331,1,.24999997,1,.75,0,.33333331,2.9166665,1,2.6785712,.36458331,.3348214,920,andhra pradesh
02jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,2.4404762,.23958333,.30505952,926,andhra pradesh
03jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,2.2023809,.23958333,.27529761,932,andhra pradesh
04jul2020,anantapur,andhra pradesh,0,.33333331,0,.33333331,1,.24999997,1,.75,0,0,1.9166666,1,2.0595238,.23958333,.25744048,938,andhra pradesh
